57.16.HN,BAO MINH SAI GON,BMSG,2016-07-28 00:00:00.000,57.16.HN.TS1,2018-09-20 00:00:00.000,2019-01-22
58.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-07-28 00:00:00.000,58.16.HN.TS1,2016-12-20 00:00:00.000,2016-12-22
59.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-07-28 00:00:00.000,59.16.HN.TS1,2016-09-19 00:00:00.000,2016-09-19
71.16.HN,PETROLIMEX J.S INSURANCE COMPANY - SAI GON BRANCH,PJICO SG,2016-07-28 00:00:00.000,71.16.HN.TS1,2017-03-29 00:00:00.000,2017-08-25
61.16.HN,PVI INSURANCE CORPORATION,PVI,2016-07-28 00:00:00.000,61.16.HN.TS1,2017-09-19 00:00:00.000,2018-01-02
62.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-07-28 00:00:00.000,62.16.HN.TS1,2016-11-24 00:00:00.000,2016-12-26
63.16.HN,BAO VIET TOKIO MARINE HANOI BRANCH,BVTM HN,2016-07-28 00:00:00.000,63.16.HN.TS1,2016-12-09 00:00:00.000,2016-12-09
64.16.HN,BAO VIET TOKIO MARINE HANOI BRANCH,BVTM HN,2016-07-28 00:00:00.000,64.16.HN.TS1,2016-12-02 00:00:00.000,2016-12-05
65.16.HN,BAO VIET TOKIO MARINE HANOI BRANCH,BVTM HN,2016-07-29 00:00:00.000,65.16.HN.TS1,2017-12-19 00:00:00.000,2018-03-22
66.16.HN,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-07-29 00:00:00.000,66.16.HN.TS1,2016-12-27 00:00:00.000,2017-01-04
91.16.SG,QBE INSURANCE (VIETNAM) CO., LTD,QBE,2016-07-29 00:00:00.000,91.16.SG.TS1,2017-03-13 00:00:00.000,2017-03-13
60.16.HN,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-07-29 00:00:00.000,60.16.HN.TS1,2016-12-31 00:00:00.000,2017-01-06
65.16.HN,BAO VIET TOKIO MARINE HANOI BRANCH,BVTM HN,2016-07-29 00:00:00.000,65.16.HN.TS2,2018-03-21 00:00:00.000,2018-03-22
67.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-07-30 00:00:00.000,67.16.HN.TS1,2016-12-20 00:00:00.000,2016-12-26
68.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-08-01 00:00:00.000,68.16.HN.TS1,2016-08-31 00:00:00.000,2016-08-31
69.16.HN,PVI THANG LONG,PVI TL,2016-08-01 00:00:00.000,69.16.HN.TS1,2017-07-17 00:00:00.000,2017-12-06
70.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-01 00:00:00.000,70.16.HN.TS1,2017-09-16 00:00:00.000,2017-12-14
88.16.HN,SAI GON - HA NOI INSURANCE CORPORATION,BSH,2016-08-02 00:00:00.000,88.16.HN.TS1,2018-06-29 00:00:00.000,2018-09-04
72.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-03 00:00:00.000,72.16.HN.TS1,2018-03-05 00:00:00.000,2018-05-02
73.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-09 00:00:00.000,73.16.HN.TS1,2016-10-13 00:00:00.000,2017-03-09
74.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-09 00:00:00.000,74.16.HN.TS1,2017-06-05 00:00:00.000,2017-07-27
76.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-09 00:00:00.000,76.16.HN.TS1,NULL,NULL
74.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-09 00:00:00.000,74.16.HN.TS2,2017-12-26 00:00:00.000,2018-12-26
75.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-12 00:00:00.000,75.16.HN.TS1,2018-04-19 00:00:00.000,2018-06-01
92.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-08-15 00:00:00.000,92.16.SG.TS1,2016-10-27 00:00:00.000,2016-10-27
77.16.HN,GLOBAL INSURANCE CORPORATION,GIC,2016-08-15 00:00:00.000,77.16.HN.TS1,2017-02-09 00:00:00.000,2017-02-15
78.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-16 00:00:00.000,78.16.HN.TS1,2017-03-20 00:00:00.000,2017-07-11
93.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-16 00:00:00.000,93.16.SG.TS1,2018-05-28 00:00:00.000,2018-07-06
104.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-16 00:00:00.000,104.16.SG.TS1,2018-11-05 00:00:00.000,NULL
80.16.HN,PETROLIMEX J.S INSURANCE COMPANY - SAI GON BRANCH,PJICO SG,2016-08-16 00:00:00.000,80.16.HN.TS1,2017-01-18 00:00:00.000,2017-07-11
94.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-08-17 00:00:00.000,94.16.SG.TS1,2016-12-01 00:00:00.000,2016-12-02
79.16.HN,PETROLIMEX J.S INSURANCE COMPANY - SAI GON BRANCH,PJICO SG,2016-08-17 00:00:00.000,79.16.HN.TS1,2017-03-24 00:00:00.000,2017-04-18
81.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-20 00:00:00.000,81.16.HN.TS1,2018-01-20 00:00:00.000,2018-06-19
82.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-08-20 00:00:00.000,82.16.HN.TS1,2018-01-30 00:00:00.000,2018-06-19
83.16.HN,MILITARY INSURANCE CORPORATION,MIC,2016-08-24 00:00:00.000,83.16.HN.TS1,2018-10-08 00:00:00.000,2019-03-13
95.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-08-27 00:00:00.000,95.16.SG.TS1,2016-11-29 00:00:00.000,2016-12-20
96.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-08-27 00:00:00.000,96.16.SG.TS1,2016-11-25 00:00:00.000,2017-05-19
97.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-08-27 00:00:00.000,97.16.SG.TS1,2016-10-14 00:00:00.000,2016-10-26
98.16.SG,BAO MINH SAI GON,BMSG,2016-08-29 00:00:00.000,98.16.SG.TS1,2016-11-05 00:00:00.000,2016-12-22
84.16.HN,PVI INSURANCE CORPORATION,PVI,2016-08-29 00:00:00.000,84.16.HN.TS1,2017-03-07 00:00:00.000,2017-03-21
85.16.HN,MILITARY INSURANCE CORPORATION,MIC,2016-08-29 00:00:00.000,85.16.HN.TS1,2018-05-31 00:00:00.000,2018-12-14
85.16.HN,MILITARY INSURANCE CORPORATION,MIC,2016-08-29 00:00:00.000,85.16.HN.TS2,2018-12-14 00:00:00.000,2018-12-14
99.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-08-31 00:00:00.000,99.16.SG.TS1,2017-05-29 00:00:00.000,2017-06-07
100.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-08-31 00:00:00.000,100.16.SG.TS1,2017-12-22 00:00:00.000,2018-07-24
86.16.HN,MILITARY INSURANCE CORPORATION,MIC,2016-08-31 00:00:00.000,86.16.HN.TS1,2016-12-15 00:00:00.000,2017-04-20
100.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-08-31 00:00:00.000,100.16.SG.TS2,2018-07-05 00:00:00.000,2018-07-24
105.16.SG,BAO MINH CHO LON,BMCL,2016-09-01 00:00:00.000,105.16.SG.TS1,2017-05-27 00:00:00.000,2018-10-01
101.16.SG,BAO VIET INSURANCE CORPORATION - HO CHI MINH BRANCH,BVHCM,2016-09-05 00:00:00.000,101.16.SG.TS1,2017-04-15 00:00:00.000,2017-10-02
102.16.SG,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION - HCM BRANCH,ABIC HCM,2016-09-06 00:00:00.000,102.16.SG.TS1,2017-12-20 00:00:00.000,2018-05-15
103.16.SG,PVI INSURANCE CORPORATION - PVI HCM,PVI HCM,2016-09-07 00:00:00.000,103.16.SG.TS1,2017-02-20 00:00:00.000,2017-08-22
87.16.HN,GLOBAL INSURANCE CORPORATION,GIC,2016-09-09 00:00:00.000,87.16.HN.TS1,2016-12-12 00:00:00.000,2016-12-13
106.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-09-11 00:00:00.000,106.16.SG.TS1,2019-03-22 00:00:00.000,2019-04-09
107.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-09-12 00:00:00.000,107.16.SG.TS1,2016-12-04 00:00:00.000,2018-02-05
108.16.SG,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-09-13 00:00:00.000,108.16.SG.TS1,2016-12-31 00:00:00.000,2017-03-25
109.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-09-13 00:00:00.000,109.16.SG.TS1,2016-12-02 00:00:00.000,2016-12-15
110.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-09-14 00:00:00.000,110.16.SG.TS1,2016-11-25 00:00:00.000,2016-12-05
111.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-09-15 00:00:00.000,111.16.SG.TS1,2019-05-09 00:00:00.000,NULL
112.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-09-15 00:00:00.000,112.16.SG.TS1,2017-06-09 00:00:00.000,2017-06-27
113.16.SG,BAO MINH BEN THANH,BMBT,2016-09-15 00:00:00.000,113.16.SG.TS1,2017-03-15 00:00:00.000,2017-05-09
89.16.HN,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-09-22 00:00:00.000,89.16.HN.TS1,2016-11-30 00:00:00.000,2017-02-21
115.16.SG,MILITARY INSURANCE CORPORATION,MIC,2016-09-25 00:00:00.000,115.16.SG.TS1,2017-05-24 00:00:00.000,2017-06-20
116.16.SG,PVI INSURANCE CORPORATION - SAI GON BRANCH,PVI SG,2016-09-26 00:00:00.000,116.16.SG.TS1,2016-11-23 00:00:00.000,2017-01-11
117.16.SG,QBE INSURANCE (VIETNAM) CO., LTD,QBE,2016-09-26 00:00:00.000,117.16.SG.TS1,2017-12-28 00:00:00.000,2018-01-02
118.16.SG,PETROLIMEX J.S INSURANCE COMPANY - BEN THANH BRANCH,PJICO BT,2016-09-27 00:00:00.000,118.16.SG.TS1,2016-12-13 00:00:00.000,2017-06-12
119.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-09-27 00:00:00.000,119.16.SG.TS1,2018-02-12 00:00:00.000,2018-03-08
120.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-09-27 00:00:00.000,120.16.SG.TS1,2016-10-21 00:00:00.000,2016-10-21
121.16.SG,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-09-27 00:00:00.000,121.16.SG.TS1,2017-06-06 00:00:00.000,2017-08-23
122.16.SG,PETROLIMEX J.S INSURANCE COMPANY - DONG NAI BRANCH,PJICO DN,2016-09-27 00:00:00.000,122.16.SG.TS1,2017-10-18 00:00:00.000,2017-12-26
124.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-09-27 00:00:00.000,124.16.SG.TS1,2017-01-16 00:00:00.000,2017-04-27
125.16.SG,MILITARY INSURANCE CORPORATION,MIC,2016-09-28 00:00:00.000,125.16.SG.TS1,2017-12-26 00:00:00.000,2018-11-26
